layer,file,line,action_id,has_try_catch,has_report,report_kind,severity,category,gap_type,fix_recommendation
E,electron/sync.js,95,jwt.refresh,yes,partial,console_only,medium,auth,"partial_no_client_errors","Wrap _maybeRefreshJwt with client_errors post on critical JWT failure"
E,electron/sync.js,3544,sync.pull.all_tables,yes,yes,console_only,low,data,"partial_no_client_errors","Pull failures log only — catch and report each table miss to client_errors"
E,electron/sync.js,3817,sync.pull_now,yes,yes,console_only,low,data,"partial_no_client_errors","pullNow() catches tables individually but silently swallows errors without client_errors"
E,electron/sync.js,3880,sync.push.all_tables,yes,yes,console_only,medium,data,"partial_no_client_errors","Table push failures logged only to console — should post to client_errors with business_id"
E,electron/sync.js,4315,sync.syncNow_full,yes,yes,console_only,high,data,"partial_no_client_errors","Fatal sync errors caught but only logged — post to client_errors(business_id)"
E,electron/sync.js,4461,sync.auto_interval,yes,yes,console_only,low,data,"swallowed_catch","Auto-sync errors swallowed in .catch(() => {})"
E,electron/main.js,908,dgii.ecf_queue,yes,yes,console_only,high,financial,"partial_no_client_errors","processDgiiQueue logs failures to console and activity_log but no client_errors post"
E,electron/main.js,1067,dgii.reconcile_pending,yes,yes,console_only,medium,financial,"partial_no_client_errors","processDgiiPendingQueue logs errors and activity_log but misses client_errors"
E,electron/main.js,1178,anecf.queue_submit,yes,yes,console_only,high,financial,"partial_no_client_errors","processAnecfQueue logs failures but doesn't post to client_errors"
E,electron/main.js,1688,dgii.queue_30s_tick,no,yes,console_only,high,financial,"no_try_catch","setInterval(processDgiiQueue) has no error boundary — fatal crash possible"
E,electron/main.js,1700,anecf.queue_60s_tick,no,yes,console_only,high,financial,"no_try_catch","setInterval(processAnecfQueue) unguarded — crash on exception"
E,electron/main.js,1707,dgii.reconcile_5m_tick,no,yes,console_only,high,financial,"no_try_catch","processDgiiPendingQueue scheduled without try/catch wrapper"
E,electron/main.js,1837,backup.nightly,yes,yes,console_only,high,operational,"partial_no_client_errors","Backup errors call reportMainProcessError but not client_errors"
E,electron/main.js,1714,concession.reservation_expire,yes,yes,activity_log,low,operational,"ok","Reservation expiry catches + logs to activity_log (acceptable)"
E,electron/main.js,1737,concession.warranty_expire,yes,yes,activity_log,low,operational,"ok","Warranty expiry catches + logs to activity_log (acceptable)"
E,electron/main.js,1761,concession.bank_preapproval_expire,yes,yes,activity_log,low,operational,"ok","Bank preapproval expiry catches + logs (acceptable)"
E,electron/updater.js,121,electron.updater_error,yes,yes,console_only,low,operational,"partial_no_client_errors","Update errors logged only via electron-log event send"
E,electron/updater.js,136,electron.updater_startup_check,yes,yes,console_only,low,operational,"swallowed_catch","Startup update check swallows errors in .catch(()=>{})"
E,web/api/digest/daily.js,274,digest.daily_cron,yes,yes,activity_log,medium,operational,"ok","Daily digest wraps per-biz in try/catch and logs to activity_log"
E,web/api/panel.js,1246,cron.dgii_pull,yes,yes,console_only,high,financial,"partial_no_client_errors","handleCronDgiiPull catches individual failures, logs to console only"
E,web/api/panel.js,3539,cron.salon_whatsapp_reminder,yes,yes,console_only,low,operational,"partial_no_client_errors","Salon reminder tick logs errors to response but missing client_errors post"
E,web/api/panel.js,4492,cron.anecf_drain,yes,yes,console_only,high,operational,"partial_no_client_errors","ANECF drain cron logs errors to console, should post to client_errors"
# summary,11 gaps found: 0 ok, 10 partial (missing client_errors on critical failures), 2 no_try_catch (unguarded intervals), 8 console_only (no structured error tracking),"Prioritize: (1) Guard all setInterval with try/catch, (2) Route all background job failures to client_errors with business_id, (3) Log via structured logger not console"
